Occupation code,Occupation title (click on the occupation title to view its profile),Level,Employment,Employment RSE,"Employment per 1,000 jobs",Median hourly wage,Mean hourly wage,Annual mean wage,Mean wage RSE
13-1080,Logisticians and Project Management Specialists,broad,"1,046,880",1.00%,7.079,$42.33 ,$46.95 ,"$97,660 ",0.40%
13-1081,Logisticians,detail,"202,970",0.80%,1.372,$37.27 ,$39.05 ,"$81,220 ",0.40%
13-1082,Project Management Specialists,detail,"843,910",1.30%,5.706,$45.85 ,$48.85 ,"$101,610 ",0.50%
13-1111,Management Analysts,detail,"808,860",0.70%,5.469,$45.81 ,$50.32 ,"$104,660 ",0.40%
13-1121,"Meeting, Convention, and Event Planners",detail,"112,070",2.10%,0.758,$25.27 ,$28.24 ,"$58,750 ",1.10%
13-1131,Fundraisers,detail,"94,630",2.40%,0.64,$29.42 ,$32.06 ,"$66,670 ",0.80%
13-1141,"Compensation, Benefits, and Job Analysis Specialists",detail,"93,550",1.20%,0.633,$32.59 ,$36.50 ,"$75,920 ",0.50%
13-1151,Training and Development Specialists,detail,"367,180",1.00%,2.483,$30.33 ,$33.59 ,"$69,870 ",0.50%
13-1161,Market Research Analysts and Marketing Specialists,detail,"798,620",1.30%,5.4,$32.80 ,$37.92 ,"$78,880 ",0.40%
13-1199,"Business Operations Specialists, All Other",detail,"1,081,230",0.80%,7.311,$36.53 ,$39.75 ,"$82,670 ",0.30%
13-2000,Financial Specialists,minor,"3,016,910",0.70%,20.4,$37.59 ,$44.37 ,"$92,290 ",0.50%
13-2011,Accountants and Auditors,detail,"1,402,420",0.50%,9.483,$37.50 ,$41.70 ,"$86,740 ",0.40%
13-2020,Property Appraisers and Assessors,broad,"59,970",2.40%,0.406,$29.60 ,$38.68 ,"$80,460 ",7.30%
13-2031,Budget Analysts,detail,"48,430",1.00%,0.327,$39.55 ,$42.16 ,"$87,680 ",0.30%
13-2041,Credit Analysts,detail,"71,960",1.50%,0.487,$37.91 ,$44.32 ,"$92,180 ",0.50%
13-2050,Financial Analysts and Advisors,broad,"736,130",1.10%,4.978,$43.60 ,$56.14 ,"$116,770 ",1.20%
13-2051,Financial and Investment Analysts,detail,"291,370",1.60%,1.97,$45.71 ,$52.30 ,"$108,790 ",1.60%
13-2052,Personal Financial Advisors,detail,"283,060",1.30%,1.914,$45.86 ,$66.22 ,"$137,740 ",1.60%
13-2053,Insurance Underwriters,detail,"105,900",2.00%,0.716,$36.65 ,$39.90 ,"$82,990 ",0.80%
13-2054,Financial Risk Specialists,detail,"55,800",1.50%,0.377,$49.10 ,$55.84 ,"$116,140 ",0.90%
13-2061,Financial Examiners,detail,"63,370",1.20%,0.428,$39.52 ,$45.97 ,"$95,610 ",0.50%
13-2070,Credit Counselors and Loan Officers,broad,"374,640",1.40%,2.533,$30.60 ,$39.25 ,"$81,640 ",1.00%
13-2071,Credit Counselors,detail,"29,090",3.30%,0.197,$22.75 ,$24.83 ,"$51,650 ",1.00%
13-2072,Loan Officers,detail,"345,550",1.40%,2.337,$31.60 ,$40.46 ,"$84,160 ",1.00%
13-2080,"Tax Examiners, Collectors and Preparers, and Revenue Agents",broad,"132,980",2.00%,0.899,$24.92 ,$28.42 ,"$59,100 ",0.90%
13-2081,"Tax Examiners and Collectors, and Revenue Agents",detail,"50,610",0.60%,0.342,$27.86 ,$30.97 ,"$64,410 ",0.30%
13-2082,Tax Preparers,detail,"82,370",3.30%,0.557,$23.20 ,$26.85 ,"$55,840 ",1.40%
13-2099,"Financial Specialists, All Other",detail,"127,020",1.10%,0.859,$35.48 ,$40.18 ,"$83,580 ",1.10%
15-0000,Computer and Mathematical Occupations,major,"5,003,910",0.20%,33.836,$48.29 ,$51.99 ,"$108,130 ",0.50%
15-1200,Computer Occupations,minor,"4,677,500",0.20%,31.629,$48.33 ,$51.97 ,"$108,100 ",0.50%
15-1210,Computer and Information Analysts,broad,"668,900",1.10%,4.523,$50.11 ,$53.15 ,"$110,550 ",0.50%
15-1211,Computer Systems Analysts,detail,"505,210",1.40%,3.416,$49.15 ,$51.70 ,"$107,530 ",0.50%
15-1212,Information Security Analysts,detail,"163,690",1.30%,1.107,$53.85 ,$57.63 ,"$119,860 ",0.70%
15-1221,Computer and Information Research Scientists,detail,"33,780",5.80%,0.228,$65.69 ,$74.94 ,"$155,880 ",6.70%
15-1230,Computer Support Specialists,broad,"865,750",0.60%,5.854,$28.68 ,$30.97 ,"$64,410 ",0.40%
15-1231,Computer Network Support Specialists,detail,"168,920",1.20%,1.142,$32.72 ,$36.57 ,"$76,060 ",0.90%
15-1232,Computer User Support Specialists,detail,"696,830",0.70%,4.712,$27.83 ,$29.61 ,"$61,580 ",0.50%
15-1240,Database and Network Administrators and Architects,broad,"642,840",0.80%,4.347,$49.65 ,$53.08 ,"$110,400 ",0.70%
15-1241,Computer Network Architects,detail,"173,920",1.00%,1.176,$61.01 ,$62.25 ,"$129,490 ",0.70%
15-1242,Database Administrators,detail,"80,520",1.10%,0.544,$48.03 ,$49.29 ,"$102,530 ",0.60%
15-1243,Database Architects,detail,"62,470",6.10%,0.422,$64.84 ,$65.65 ,"$136,540 ",2.40%
15-1244,Network and Computer Systems Administrators,detail,"325,930",0.70%,2.204,$43.52 ,$46.71 ,"$97,160 ",0.60%
15-1250,"Software and Web Developers, Programmers, and Testers",broad,"2,049,920",0.40%,13.861,$54.90 ,$60.07 ,"$124,940 ",0.60%
15-1251,Computer Programmers,detail,"132,740",2.80%,0.898,$47.02 ,$49.42 ,"$102,790 ",1.40%
15-1252,Software Developers,detail,"1,534,790",0.40%,10.378,$61.18 ,$63.91 ,"$132,930 ",0.60%
15-1253,Software Quality Assurance Analysts and Testers,detail,"196,420",2.00%,1.328,$47.89 ,$50.84 ,"$105,750 ",0.60%
15-1254,Web Developers,detail,"88,620",2.80%,0.599,$37.78 ,$42.11 ,"$87,580 ",2.90%
15-1255,Web and Digital Interface Designers,detail,"97,350",3.70%,0.658,$40.02 ,$48.91 ,"$101,740 ",2.40%
15-1299,"Computer Occupations, All Other",detail,"416,320",0.70%,2.815,$47.47 ,$50.32 ,"$104,660 ",0.70%
15-2000,Mathematical Science Occupations,minor,"326,400",0.90%,2.207,$47.88 ,$52.22 ,"$108,620 ",0.50%
15-2011,Actuaries,detail,"25,010",4.30%,0.169,$54.80 ,$61.34 ,"$127,580 ",0.90%
15-2021,Mathematicians,detail,"2,070",3.70%,0.014,$53.90 ,$54.74 ,"$113,860 ",1.00%
15-2031,Operations Research Analysts,detail,"105,080",1.50%,0.711,$41.21 ,$46.07 ,"$95,820 ",0.80%
15-2041,Statisticians,detail,"30,780",1.90%,0.208,$47.56 ,$50.73 ,"$105,510 ",1.00%
15-2051,Data Scientists,detail,"159,630",1.40%,1.079,$49.76 ,$55.40 ,"$115,240 ",0.70%
15-2099,"Mathematical Science Occupations, All Other",detail,"3,840",6.70%,0.026,$34.47 ,$39.50 ,"$82,160 ",1.40%
17-0000,Architecture and Engineering Occupations,major,"2,481,170",0.30%,16.778,$40.24 ,$45.52 ,"$94,670 ",0.50%
17-1000,"Architects, Surveyors, and Cartographers",minor,"186,640",1.20%,1.262,$37.98 ,$41.67 ,"$86,670 ",0.90%
17-1010,"Architects, Except Naval",broad,"125,610",1.60%,0.849,$39.25 ,$45.10 ,"$93,810 ",1.10%
17-1011,"Architects, Except Landscape and Naval",detail,"107,490",1.40%,0.727,$39.83 ,$46.40 ,"$96,510 ",1.20%
17-1012,Landscape Architects,detail,"18,120",4.60%,0.123,$35.20 ,$37.41 ,"$77,820 ",1.10%
17-1020,"Surveyors, Cartographers, and Photogrammetrists",broad,"61,030",4.90%,0.413,$31.11 ,$34.61 ,"$71,980 ",0.60%
17-1021,Cartographers and Photogrammetrists,detail,"13,270",8.90%,0.09,$34.56 ,$36.20 ,"$75,300 ",0.70%
17-1022,Surveyors,detail,"47,770",4.40%,0.323,$30.33 ,$34.16 ,"$71,060 ",0.70%
17-2000,Engineers,minor,"1,659,230",0.70%,11.22,$48.09 ,$51.53 ,"$107,170 ",0.40%
17-2011,Aerospace Engineers,detail,"61,580",1.70%,0.416,$61.00 ,$61.10 ,"$127,090 ",0.60%
17-2021,Agricultural Engineers,detail,"1,500",14.20%,0.01,$40.03 ,$43.61 ,"$90,710 ",1.30%
17-2031,Bioengineers and Biomedical Engineers,detail,"19,210",4.60%,0.13,$47.86 ,$51.95 ,"$108,060 ",1.50%
17-2041,Chemical Engineers,detail,"20,380",3.70%,0.138,$51.09 ,$56.64 ,"$117,820 ",1.40%
17-2051,Civil Engineers,detail,"307,570",1.90%,2.08,$43.24 ,$46.82 ,"$97,380 ",0.80%
17-2061,Computer Hardware Engineers,detail,"74,640",3.70%,0.505,$63.64 ,$67.71 ,"$140,830 ",1.80%
17-2070,Electrical and Electronics Engineers,broad,"288,860",0.90%,1.953,$50.29 ,$55.62 ,"$115,680 ",0.70%
17-2071,Electrical Engineers,detail,"182,210",1.00%,1.232,$49.67 ,$54.83 ,"$114,050 ",0.90%
17-2072,"Electronics Engineers, Except Computer",detail,"106,640",1.70%,0.721,$52.00 ,$56.95 ,"$118,460 ",0.90%
17-2081,Environmental Engineers,detail,"45,440",2.70%,0.307,$46.41 ,$48.88 ,"$101,670 ",1.00%
17-2110,"Industrial Engineers, Including Health and Safety",broad,"342,920",0.80%,2.319,$46.44 ,$47.54 ,"$98,880 ",0.40%
17-2111,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",detail,"21,520",4.10%,0.146,$48.40 ,$49.79 ,"$103,570 ",0.60%
17-2112,Industrial Engineers,detail,"321,400",0.60%,2.173,$46.32 ,$47.39 ,"$98,560 ",0.40%
17-2121,Marine Engineers and Naval Architects,detail,"7,450",7.50%,0.05,$46.59 ,$50.75 ,"$105,560 ",3.70%
17-2131,Materials Engineers,detail,"21,510",2.20%,0.145,$48.15 ,$50.69 ,"$105,420 ",1.50%
17-2141,Mechanical Engineers,detail,"277,560",0.80%,1.877,$46.31 ,$48.47 ,"$100,820 ",0.70%
17-2151,"Mining and Geological Engineers, Including Mining Safety Engineers",detail,"7,390",5.70%,0.05,$46.87 ,$48.70 ,"$101,290 ",1.10%
17-2161,Nuclear Engineers,detail,"12,250",2.20%,0.083,$58.89 ,$59.88 ,"$124,540 ",1.70%
17-2171,Petroleum Engineers,detail,"20,540",4.30%,0.139,$63.37 ,$68.66 ,"$142,800 ",1.50%
17-2199,"Engineers, All Other",detail,"150,420",1.10%,1.017,$50.29 ,$53.50 ,"$111,280 ",0.50%
17-3000,"Drafters, Engineering Technicians, and Mapping Technicians",minor,"635,300",0.90%,4.296,$29.37 ,$30.95 ,"$64,370 ",0.40%
17-3010,Drafters,broad,"192,410",1.60%,1.301,$29.04 ,$30.43 ,"$63,300 ",0.60%
17-3011,Architectural and Civil Drafters,detail,"105,960",2.20%,0.716,$28.76 ,$29.64 ,"$61,660 ",0.70%
17-3012,Electrical and Electronics Drafters,detail,"20,930",3.90%,0.142,$30.89 ,$33.00 ,"$68,640 ",1.00%
17-3013,Mechanical Drafters,detail,"47,540",1.50%,0.321,$29.48 ,$31.59 ,"$65,700 ",0.70%
17-3019,"Drafters, All Other",detail,"17,980",3.50%,0.122,$27.71 ,$29.02 ,"$60,370 ",0.80%
17-3020,"Engineering Technologists and Technicians, Except Drafters",broad,"386,310",0.70%,2.612,$30.06 ,$32.10 ,"$66,780 ",0.40%
17-3021,Aerospace Engineering and Operations Technologists and Technicians,detail,"9,750",5.40%,0.066,$35.78 ,$37.05 ,"$77,060 ",1.90%
17-3022,Civil Engineering Technologists and Technicians,detail,"62,350",2.10%,0.422,$28.67 ,$29.56 ,"$61,480 ",1.20%
17-3023,Electrical and Electronic Engineering Technologists and Technicians,detail,"99,050",1.10%,0.67,$31.92 ,$34.04 ,"$70,810 ",0.40%
17-3024,Electro-Mechanical and Mechatronics Technologists and Technicians,detail,"14,540",4.60%,0.098,$29.12 ,$31.69 ,"$65,920 ",1.10%
17-3025,Environmental Engineering Technologists and Technicians,detail,"13,400",4.20%,0.091,$24.51 ,$27.90 ,"$58,020 ",1.80%
17-3026,Industrial Engineering Technologists and Technicians,detail,"66,560",1.30%,0.45,$29.43 ,$30.52 ,"$63,470 ",0.50%
17-3027,Mechanical Engineering Technologists and Technicians,detail,"39,610",1.80%,0.268,$29.80 ,$31.02 ,"$64,530 ",0.60%
17-3028,Calibration Technologists and Technicians,detail,"10,790",4.90%,0.073,$29.83 ,$32.31 ,"$67,200 ",1.20%
17-3029,"Engineering Technologists and Technicians, Except Drafters, All Other",detail,"70,250",1.90%,0.475,$31.50 ,$33.92 ,"$70,550 ",0.70%
17-3031,Surveying and Mapping Technicians,detail,"56,580",2.70%,0.383,$22.68 ,$24.79 ,"$51,570 ",0.70%
19-0000,"Life, Physical, and Social Science Occupations",major,"1,314,360",0.50%,8.888,$35.74 ,$40.21 ,"$83,640 ",0.60%
19-1000,Life Scientists,minor,"318,780",1.00%,2.156,$39.93 ,$46.56 ,"$96,840 ",0.80%
19-1010,Agricultural and Food Scientists,broad,"33,250",3.90%,0.225,$36.03 ,$39.06 ,"$81,250 ",5.60%
19-1011,Animal Scientists,detail,"2,520",8.20%,0.017,$33.36 ,$41.28 ,"$85,870 ",3.90%
19-1012,Food Scientists and Technologists,detail,"14,720",4.20%,0.1,$38.39 ,$41.22 ,"$85,730 ",1.00%
19-1013,Soil and Plant Scientists,detail,"16,010",5.60%,0.108,$31.60 ,$36.73 ,"$76,410 ",11.90%
19-1020,Biological Scientists,broad,"124,910",2.30%,0.845,$41.35 ,$46.38 ,"$96,460 ",0.80%
19-1021,Biochemists and Biophysicists,detail,"32,500",5.40%,0.22,$49.91 ,$55.16 ,"$114,740 ",1.60%
19-1022,Microbiologists,detail,"19,710",3.30%,0.133,$39.42 ,$42.77 ,"$88,950 ",1.10%
19-1023,Zoologists and Wildlife Biologists,detail,"17,410",2.70%,0.118,$32.42 ,$34.91 ,"$72,610 ",0.90%
19-1029,"Biological Scientists, All Other",detail,"55,300",2.60%,0.374,$41.97 ,$46.11 ,"$95,920 ",0.90%
19-1030,Conservation Scientists and Foresters,broad,"32,320",1.60%,0.219,$30.97 ,$33.32 ,"$69,310 ",0.70%
19-1031,Conservation Scientists,detail,"22,880",1.30%,0.155,$30.99 ,$33.56 ,"$69,810 ",0.60%
19-1032,Foresters,detail,"9,430",4.60%,0.064,$30.87 ,$32.74 ,"$68,090 ",1.40%
19-1040,Medical Scientists,broad,"119,980",1.50%,0.811,$46.74 ,$52.27 ,"$108,720 ",1.30%
19-1041,Epidemiologists,detail,"9,430",1.60%,0.064,$37.75 ,$41.29 ,"$85,880 ",0.60%
19-1042,"Medical Scientists, Except Epidemiologists",detail,"110,550",1.60%,0.748,$48.04 ,$53.21 ,"$110,670 ",1.30%
19-1099,"Life Scientists, All Other",detail,"8,320",4.40%,0.056,$40.35 ,$48.26 ,"$100,370 ",1.90%
19-2000,Physical Scientists,minor,"251,060",0.90%,1.698,$40.27 ,$46.91 ,"$97,570 ",0.60%
19-2010,Astronomers and Physicists,broad,"21,000",2.70%,0.142,$66.93 ,$71.06 ,"$147,800 ",1.10%
19-2011,Astronomers,detail,"2,160",10.10%,0.015,$61.70 ,$61.28 ,"$127,460 ",4.30%
19-2012,Physicists,detail,"18,840",2.70%,0.127,$68.68 ,$72.18 ,"$150,130 ",1.20%
19-2021,Atmospheric and Space Scientists,detail,"9,900",3.50%,0.067,$40.28 ,$45.01 ,"$93,610 ",1.10%
19-2030,Chemists and Materials Scientists,broad,"91,570",1.60%,0.619,$39.33 ,$44.33 ,"$92,210 ",0.70%
19-2031,Chemists,detail,"83,940",1.50%,0.568,$38.78 ,$43.53 ,"$90,530 ",0.70%
19-2032,Materials Scientists,detail,"7,620",6.50%,0.052,$50.18 ,$53.22 ,"$110,690 ",1.40%
19-2040,Environmental Scientists and Geoscientists,broad,"108,780",1.50%,0.736,$37.85 ,$42.96 ,"$89,350 ",0.90%
19-2041,"Environmental Scientists and Specialists, Including Health",detail,"77,270",1.80%,0.523,$36.77 ,$40.30 ,"$83,820 ",1.10%
19-2042,"Geoscientists, Except Hydrologists and Geographers",detail,"25,230",2.80%,0.171,$42.06 ,$50.27 ,"$104,560 ",1.30%
19-2043,Hydrologists,detail,"6,270",4.50%,0.042,$41.34 ,$46.30 ,"$96,300 ",2.10%
19-2099,"Physical Scientists, All Other",detail,"19,820",2.20%,0.134,$51.91 ,$55.88 ,"$116,230 ",1.40%
19-3000,Social Scientists and Related Workers,minor,"256,110",1.10%,1.732,$40.39 ,$45.46 ,"$94,560 ",0.70%
19-3011,Economists,detail,"16,370",5.30%,0.111,$54.78 ,$61.63 ,"$128,180 ",2.80%
19-3022,Survey Researchers,detail,"7,880",5.10%,0.053,$29.04 ,$31.94 ,"$66,440 ",3.00%
19-3030,Psychologists,broad,"138,310",1.60%,0.935,$41.02 ,$46.25 ,"$96,190 ",1.00%
19-3032,Industrial-Organizational Psychologists,detail,"1,280",12.50%,0.009,$66.96 ,$69.52 ,"$144,610 ",3.70%
19-3033,Clinical and Counseling Psychologists,detail,"62,880",3.10%,0.425,$43.33 ,$49.40 ,"$102,740 ",1.80%
19-3034,School Psychologists,detail,"60,250",1.50%,0.407,$39.18 ,$42.09 ,"$87,550 ",0.80%
19-3039,"Psychologists, All Other",detail,"13,900",2.00%,0.094,$51.16 ,$47.87 ,"$99,560 ",1.10%
19-3041,Sociologists,detail,"2,980",8.90%,0.02,$47.40 ,$48.71 ,"$101,310 ",2.90%
19-3051,Urban and Regional Planners,detail,"39,880",1.50%,0.27,$38.24 ,$39.63 ,"$82,420 ",0.80%
19-3090,Miscellaneous Social Scientists and Related Workers,broad,"50,690",1.10%,0.343,$41.38 ,$44.61 ,"$92,800 ",0.60%
19-3091,Anthropologists and Archeologists,detail,"7,350",9.40%,0.05,$30.74 ,$32.84 ,"$68,310 ",1.40%
19-3092,Geographers,detail,"1,360",1.50%,0.009,$42.74 ,$42.77 ,"$88,960 ",0.50%
19-3093,Historians,detail,"3,120",3.50%,0.021,$31.03 ,$35.05 ,"$72,900 ",1.30%
19-3094,Political Scientists,detail,"5,660",9.10%,0.038,$61.55 ,$60.64 ,"$126,140 ",2.60%
19-3099,"Social Scientists and Related Workers, All Other",detail,"33,210",1.10%,0.225,$42.74 ,$45.46 ,"$94,560 ",0.50%
19-4000,"Life, Physical, and Social Science Technicians",minor,"355,310",0.70%,2.403,$23.94 ,$26.88 ,"$55,900 ",0.60%
19-4010,Agricultural and Food Science Technicians,broad,"27,490",3.00%,0.186,$22.18 ,$23.37 ,"$48,610 ",1.20%
19-4012,Agricultural Technicians,detail,"13,140",5.90%,0.089,$20.08 ,$21.94 ,"$45,640 ",1.20%
19-4013,Food Science Technicians,detail,"14,350",3.70%,0.097,$23.01 ,$24.68 ,"$51,320 ",1.10%
19-4021,Biological Technicians,detail,"73,710",1.80%,0.498,$23.87 ,$25.75 ,"$53,560 ",0.70%
19-4031,Chemical Technicians,detail,"56,030",1.60%,0.379,$24.44 ,$27.01 ,"$56,180 ",0.70%
19-4040,Environmental Science and Geoscience Technicians,broad,"46,010",2.60%,0.311,$23.38 ,$26.99 ,"$56,140 ",1.10%
19-4042,"Environmental Science and Protection Technicians, Including Health",detail,"33,920",2.40%,0.229,$23.26 ,$25.95 ,"$53,970 ",0.80%
19-4043,"Geological Technicians, Except Hydrologic Technicians",detail,"9,170",7.70%,0.062,$23.31 ,$29.24 ,"$60,810 ",3.50%
19-4044,Hydrologic Technicians,detail,"2,920",6.60%,0.02,$28.06 ,$32.04 ,"$66,640 ",2.70%
19-4051,Nuclear Technicians,detail,"5,880",3.10%,0.04,$48.28 ,$46.65 ,"$97,040 ",0.90%
19-4061,Social Science Research Assistants,detail,"28,720",1.60%,0.194,$24.26 ,$27.77 ,"$57,760 ",1.00%
