Occupation_sleep,Corresponding Occupation_job
,Epidemiologists
,Food Scientists and Technologists
,"Geoscientists, Except Hydrologists and Geographers"
,Hydrologists
,Life Scientists
,"Life Scientists, All Other"
,Materials Scientists
,Medical Scientists
,"Medical Scientists, Except Epidemiologists"
,Miscellaneous Life Scientists
,Miscellaneous Physical Scientists
,Miscellaneous Social Scientists and Related Workers
,Physical Scientists
,"Physical Scientists, All Other"
,Psychiatrists
,Psychologists
,"Psychologists, All Other"
,"Social Scientists and Related Workers, All Other"
,Sociologists
,Soil and Plant Scientists
,Zoologists and Wildlife Biologists
Software Engineer,"Software and Web Developers, Programmers, and Testers"
,Software Developers
,Software Quality Assurance Analysts and Testers
Teacher,"Agricultural Sciences Teachers, Postsecondary"
,"Anthropology and Archeology Teachers, Postsecondary"
,"Architecture Teachers, Postsecondary"
,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary"
,"Art, Drama, and Music Teachers, Postsecondary"
,"Arts, Communications, History, and Humanities Teachers, Postsecondary"
,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary"
,"Biological Science Teachers, Postsecondary"
,"Business Teachers, Postsecondary"
,"Business Teachers, Postsecondary"
,"Career/Technical Education Teachers, Middle School"
,"Career/Technical Education Teachers, Postsecondary"
,"Career/Technical Education Teachers, Secondary School"
,"Chemistry Teachers, Postsecondary"
,"Communications Teachers, Postsecondary"
,"Computer Science Teachers, Postsecondary"
,"Criminal Justice and Law Enforcement Teachers, Postsecondary"
,"Economics Teachers, Postsecondary"
,"Education and Library Science Teachers, Postsecondary"
,"Education Teachers, Postsecondary"
,Elementary and Middle School Teachers
,"Elementary School Teachers, Except Special Education"
,"Engineering and Architecture Teachers, Postsecondary"
,"Engineering Teachers, Postsecondary"
,"English Language and Literature Teachers, Postsecondary"
,"Environmental Science Teachers, Postsecondary"
,"Family and Consumer Sciences Teachers, Postsecondary"
,"Foreign Language and Literature Teachers, Postsecondary"
,"Forestry and Conservation Science Teachers, Postsecondary"
,"Geography Teachers, Postsecondary"
,"Health Specialties Teachers, Postsecondary"
,"Health Teachers, Postsecondary"
,"History Teachers, Postsecondary"
,"Kindergarten Teachers, Except Special Education"
,"Law Teachers, Postsecondary"
,"Law, Criminal Justice, and Social Work Teachers, Postsecondary"
,"Library Science Teachers, Postsecondary"
,"Life Sciences Teachers, Postsecondary"
,"Math and Computer Science Teachers, Postsecondary"
,"Mathematical Science Teachers, Postsecondary"
,"Middle School Teachers, Except Special and Career/Technical Education"
,Miscellaneous Postsecondary Teachers
,Miscellaneous Teachers and Instructors
,"Nursing Instructors and Teachers, Postsecondary"
,Other Teachers and Instructors
,"Philosophy and Religion Teachers, Postsecondary"
,"Physical Sciences Teachers, Postsecondary"
,"Physics Teachers, Postsecondary"
,"Political Science Teachers, Postsecondary"
,Postsecondary Teachers
,"Postsecondary Teachers, All Other"
,Preschool and Kindergarten Teachers
,"Preschool Teachers, Except Special Education"
,"Preschool, Elementary, Middle, Secondary, and Special Education Teachers"
,"Psychology Teachers, Postsecondary"
,"Recreation and Fitness Studies Teachers, Postsecondary"
,Secondary School Teachers
,"Secondary School Teachers, Except Special and Career/Technical Education"
,Self-Enrichment Teachers
,"Social Sciences Teachers, Postsecondary"
,"Social Sciences Teachers, Postsecondary, All Other"
,"Social Work Teachers, Postsecondary"
,"Sociology Teachers, Postsecondary"
,Special Education Teachers
,"Special Education Teachers, All Other"
,"Special Education Teachers, Kindergarten and Elementary School"
,"Special Education Teachers, Middle School"
,"Special Education Teachers, Preschool"
,"Special Education Teachers, Secondary School"
,"Substitute Teachers, Short-Term"
,"Teachers and Instructors, All Other"
,Tutors
